script,input_files,output_files,mo_definitions,name_definitions,matched_variables,hit_count
"H:\Planning\SJTDM\SJTDM (old, 2016)\Application Files\NWDST00A.S",C:\SHARE\D-PROD\PROJECTS\0021.00\WORKING\MODEL\APPLICATION FILES\SJLOO00B.MAT; C:\share\D-Prod\Projects\0021.00\Backgrnd\2025\Triptabs\attr.A25; C:\share\D-Prod\Projects\0021.00\Backgrnd\2025\Triptabs\prod.A25,C:\share\D-PROD\PROJECTS\0021.00\WORKING\MODEL\APPLICATION FILES\SJPATABLES.MAT,,,BAC; CA,6
"H:\Planning\SJTDM\SJTDM (old, 2016)\Application Files\NWDST00B.S",{SCENARIO_DIR}\HSKIM_PK.MAT; {SCENARIO_DIR}\PANDA.DBF,{SCENARIO_DIR}\SCHTRIPS.MAT,"1-4, name=SCH1,SCH2,SCH3,SCH4,dec=4*4","SCH1,SCH2,SCH3,SCH4,dec; ff,
       lookup",CA,1
"H:\Planning\SJTDM\SJTDM (old, 2016)\Application Files\NWDST00C.S",{SCENARIO_DIR}\HSKIM_OP.MAT; {SCENARIO_DIR}\PANDA.DBF,{SCENARIO_DIR}\HBSTRIPS.MAT,"1-4, name=HBS1,HBS2,HBS3,HBS4,dec=4*4","HBS1,HBS2,HBS3,HBS4,dec; ff,
       lookup",CA,1
"H:\Planning\SJTDM\SJTDM (old, 2016)\Application Files\NWDST00D.S",{SCENARIO_DIR}\HSKIM_OP.MAT; {SCENARIO_DIR}\PANDA.DBF,{SCENARIO_DIR}\HBOTRIPS.MAT,"1-4, name=HBO1,HBO2,HBO3,HBO4,DEC=4*4","HBO1,HBO2,HBO3,HBO4,DEC; ff,
       lookup",CA,1
"H:\Planning\SJTDM\SJTDM (old, 2016)\Application Files\NWDST00E.S",{SCENARIO_DIR}\HSKIM_PK.MAT; {SCENARIO_DIR}\PANDA.DBF,{SCENARIO_DIR}\NHBWTRIPS.MAT,"1, name=NHBW,DEC=4","NHBW,DEC; ff,
       lookup",CA,1
"H:\Planning\SJTDM\SJTDM (old, 2016)\Application Files\NWDST00F.S",{SCENARIO_DIR}\SJM11OP.MAT; {SCENARIO_DIR}\PANDA.DBF; C:\sjtpo\common\SJ4KFAC.ATW,{SCENARIO_DIR}\sj412ATW.A10,"1, name=ATW","ATW
par zonemsg; ff,
       lookup",CA,2
"H:\Planning\SJTDM\SJTDM (old, 2016)\Application Files\NWDST00G.S",{SCENARIO_DIR}\HSKIM_OP.MAT; {SCENARIO_DIR}\PANDA.DBF,{SCENARIO_DIR}\NWKTRIPS.MAT,"1, name=NWK,DEC=4","NWK,DEC; ff,
       lookup",CA,1
"H:\Planning\SJTDM\SJTDM (old, 2016)\Application Files\NWDST00H.S",{SCENARIO_DIR}\HSKIM_OP.MAT; {SCENARIO_DIR}\PANDA.DBF,{SCENARIO_DIR}\COMTRKTRIPS.MAT,"1-6, name=COMII, COMIX, COMXI, TRKII, TRKIX, TRKXI,DEC=6*4","COMII, COMIX, COMXI, TRKII, TRKIX, TRKXI,DEC; ff,
       lookup",CA,1
"H:\Planning\SJTDM\SJTDM (old, 2016)\Application Files\NWDST00I.S",{SCENARIO_DIR}\HSKIM_PK.MAT; {SCENARIO_DIR}\PANDA.DBF,{SCENARIO_DIR}\PKXIIXTRIPS.MAT,"1-6, name=HBWIX, HBWXI, SCHIX, SCHXI, NHBWIX, NHBWXI,dec=6*4","HBWIX, HBWXI, SCHIX, SCHXI, NHBWIX, NHBWXI,dec; ff,
       lookup",CA; EA,2
"H:\Planning\SJTDM\SJTDM (old, 2016)\Application Files\NWDST00J.S",{SCENARIO_DIR}\HSKIM_OP.MAT; {SCENARIO_DIR}\PANDA.DBF,{SCENARIO_DIR}\OPXIIXTRIPS1.MAT,"1-4, name=HBSIX, HBSXI, HBOIX, HBOXI,dec=4*4","HBSIX, HBSXI, HBOIX, HBOXI,dec; ff,
         lookup",CA; EA,2
